 # CATAID  RA   DEC Z_TONRY nQ  M_r  DistanceToEdge Completeness DistanceTo5nn SurfaceDensity SurfaceDensityErr SurfaceDensityFlag CountInCyl CountInCylErr CountInCylFlag AGEDenPar  AGEErr AGEScale AGEDenParFlag
   5103399  340.067511500000 -31.92004160000000113 0.15405     4  -20.340   10.06184  1.0000    3.741        0.114    0.0105     0     0.000     0.0     0    0.329    3.000    1.200     0
   5114032  340.801521300000 -32.78682059999999865 0.17548     4  -19.285   19.05743  1.0000    3.913        0.104    0.0315     0     1.000     1.0     0    0.351    2.646    1.400     0
   5146625  344.409319800000 -32.35623970000000327 0.15384     4  -20.528   26.13063  1.0000    5.490        0.053    0.0032     0     0.000     0.0     0    0.059    2.236    1.000     0
   5142419  343.813024500000 -32.19175580000000281 0.17462     4  -20.494   27.45054  1.0000    3.329        0.144    0.0112     0     2.000     1.4     0    0.307    3.000    1.200     0
   5118693  341.315356900000 -31.85414289999999937 0.17387     4  -20.759   23.12545  1.0000    1.062        1.411    0.0857     0     4.000     2.0     0    0.703    3.873    1.400     0
   5149701  345.082154900000 -31.74267790000000034 0.17579     4  -20.354   21.96597  1.0000    4.183        0.091    0.0074     0     3.000     1.7     0    0.652    4.123    1.400     0
   5144801  343.329147500000 -31.72077769999999930 0.17632     4  -19.860   21.75150  1.0000    4.395        0.082    0.0081     0     0.000     0.0     0    0.166    2.236    1.000     0
   5149487  345.168048200000 -31.78649389999999997 0.15321     4  -20.838   19.73417  1.0000    5.855        0.046    0.2676     0     3.000     1.7     0    0.754    3.464    1.400     0
   5106609  339.663935400000 -31.25361819999999824 0.15313     4  -20.497    6.26669  1.0000    3.758        0.113    0.0401     0     2.000     1.4     0    1.567    4.583    1.600     0
   5120198  341.395206200000 -31.52123960000000125 0.15305     4  -19.500   16.78747  1.0000    8.449        0.022    0.0017     0     0.000     0.0     0 -999.900 -999.900    1.000     2
   5149482  345.160303000000 -31.79158179999999945 0.15279     4  -19.849   19.73821  1.0000    1.446        0.761    0.4331     0     4.000     2.0     0    1.253    3.606    2.000     0
   5149051  345.095544200000 -31.87114730000000051 0.15259     4  -19.945   20.58901  1.0000    1.703        0.549    0.0137     0     0.000     0.0     0    0.927    3.606    1.600     0
   5116313  341.407723400000 -32.33176850000000258 0.17699     4  -20.088   25.81026  1.0000    2.248        0.315    0.0285     0     0.000     0.0     0    0.119    2.828    1.000     0
   5132421  342.796176400000 -31.02245470000000083 0.15188     4  -21.288   11.20016  1.0000   12.605        0.003 -999.9000     2     0.000     0.0     0    0.146    1.414    1.200     0
   5105874  340.213804400000 -31.39749660000000020 0.15180     4  -19.220   11.34370  1.0000    2.193        0.331    0.0142     0     0.000     0.0     0    0.159    2.449    1.200     0
   5121293  341.900051700000 -31.28247299999999953 0.17291     4  -20.073   15.91090  1.0000    6.147        0.042    0.0038     0     0.000     0.0     0    0.160    1.000    1.200     0
   5103267  340.458987600000 -31.94779929999999979 0.16272     4  -20.494   14.49054  1.0000    8.965        0.020    0.0020     0     0.000     0.0     0    0.020    1.000    1.000     0
   5131681  342.671501400000 -31.14215829999999841 0.17691     4  -20.658   14.48378  1.0000    3.134        0.162    0.0323     0     0.000     0.0     0    0.244    3.742    1.000     0
   5128443  342.370220100000 -32.75586020000000076 0.15067     4  -21.491   24.39393  1.0000    9.039        0.019    0.0008     0     0.000     0.0     0    0.018    1.000    1.000     0
   5118763  341.098794500000 -31.83856060000000099 0.15064     4  -19.584   19.37748  1.0000    9.099        0.019    0.0017     0     1.000     1.0     0    0.159    1.000    1.200     0
   5151075  345.368207600000 -33.42939659999999691 0.15050     4  -20.906   17.05361  1.0000   13.204        0.009    0.0008     0     0.000     0.0     0    0.060    1.414    1.000     0
   5130644  342.880322200000 -31.32413280000000100 0.16650     4  -19.436   15.84415  1.0000   13.004        0.009    0.0004     0     0.000     0.0     0 -999.900 -999.900    1.000     2
   5105972  340.769529400000 -31.37456359999999833 0.17456     4  -21.471   17.20939  1.0000    1.121        1.266    0.1092     0     3.000     1.7     0    1.585    4.690    2.000     0
   5152298  346.267074100000 -33.19623390000000285 0.17789     4  -20.981   22.99447  1.0000    8.761        0.021    0.0041     0     0.000     0.0     0    0.150    2.236    1.000     0
