cata_id    ra            dec        z1  template1   cc_sigma  z2 template2  cc_sigma   spec_id
05278581  345.5005  -31.5943    0.1806  47   7.3    0.3138  43   8.0  G23_Y7_102_073 
05133005  342.0545  -30.9158    0.2888  40   7.4    0.5565  45   5.9  G23_Y7_104_184 
05303007  347.4189  -31.6435    0.1846  47   6.1    0.2145  47   7.9  G23_Y7_108_073 
05305246  346.6751  -31.1567    0.0695  44   6.9    0.4582  42   6.5  G23_Y7_108_173 
05145400  344.8312  -32.6022    0.0280  45   7.6    0.1905  44  10.2  G23_Y7_121_201 
05327168  348.6900  -31.5310    0.1955  40   8.9    0.2438  45   7.7  G23_Y7_122_070 
05265318  344.9055  -31.1903    0.1835  40   8.6    0.6495  46   6.5  G23_Y7_123_125 
05267107  344.9298  -30.8370    0.1141  46   9.2    0.2789  40   9.0  G23_Y7_123_136 
05237727  343.0789  -34.4452    0.1586  47   7.1    0.2290  40   6.3  G23_Y7_125_377 
05238595  343.0000  -34.2987    0.1995  40   6.0    0.6547  42   6.4  G23_Y7_125_389 
