     cataidGAMA  gama_z   logMstarGAMA    dellogm     neff
     5102808     0.2625    10.7876     0.0695     9.24
     5102822     0.2499    10.1666     0.1071    48.37
     5102826     0.2794    10.3108     0.0800    35.83
     5102840     0.1251     9.4108     0.1062   155.09
     5102861     0.1170    10.6231     0.0462     2.01
     5102866     0.1766    10.7203     0.0173     1.03
     5102877     0.1747    10.1443     0.0991    26.45
     5102885     0.2648    10.6257     0.0673    15.31
     5102887     0.1732    10.1463     0.1323     8.92
     5102896     0.2784    10.6903     0.0745    20.75
     5102897     0.0489     9.0541     0.1077     1.95
     5102905     0.2481    10.6098     0.1082    18.12
     5102922     0.3254    10.8494     0.0585    49.30
     5102929     0.4932    10.6397     0.4654     3.45
     5102940     0.4087    11.2145     0.0221     6.60
     5102971     0.1256    10.2174     0.0177     1.67
     5102985     0.1672     9.6285     0.1354    31.03
     5102989     0.0949     9.1181     0.1056   148.56
     5102990     0.0568     9.1017     0.1364    12.43
     5102992     0.2185    10.8454     0.0408     5.69
     5102993     0.3354    10.7419     0.0778    54.48
     5103005     0.3255    10.9329     0.0503    56.48
     5103006     0.1760     9.7375     0.1054   168.76
     5103009     0.1216    10.0901     0.1079     1.73
     5103021     0.3290    10.7391     0.0702    39.45
     5103027     0.2499    10.0807     0.1020   141.45
     5103048     0.1251     9.6071     0.0537     1.08
     5103052     0.1371     9.5736     0.0971   128.11
     5103057     0.1369     9.4630     0.0944   203.37
     5103066     0.2374    10.5593     0.1309    19.55
     5103072     0.2489    10.4966     0.0637    11.92
     5103085     0.2720    10.9092     0.0670     9.30
     5103091     0.1762    10.0105     0.1012    66.45
     5103096     0.1768    10.3131     0.0794    21.07
     5103102     0.4686        nan        nan      nan
     5103105     1.7955        nan        nan      nan
     5103113     0.3247    10.8085     0.0647    31.59
     5103128     0.1764    10.0369     0.0720    60.12
     5103129     0.1551    10.3526     0.0545     1.59
     5103138     0.1231    10.0099     0.0997     5.00
     5103159     0.1234    10.6758     0.0330     5.27
     5103164     0.1145    10.0134     0.0811    10.40
     5103181     0.0156     7.2512     0.1396    48.37
     5103182     0.1224    10.0330     0.0661     3.85
     5103200     0.1203     9.1493     0.2935    16.95
     5103206     0.2659    11.5797     0.0031     1.17
     5103213     0.1241    10.6467     0.0384     2.10
     5103220     0.3256    10.4616     0.0679   108.68
     5103227     0.1235    10.3391     0.0793     2.70
     5103228     0.1253     9.7690     0.1037    52.28
     5103230     0.1772     9.6643     0.1067   240.15
     5103239     0.3246    10.7593     0.0630    30.22
     5103248     0.1238    10.1004     0.0948     1.75
     5103251     0.2189    10.2651     0.1065    51.15
     5103252     0.2387     9.9527     0.1355     9.23
     5103254     0.4696    11.6164     0.0454     1.25
     5103256     0.3345    10.4064     0.0606    81.49
     5103261     0.3212    10.9122     0.0594     6.48
     5103266     1.1002        nan        nan      nan
     5103267     0.1638    10.2109     0.0908     9.83
     5103269     0.3559    10.0877     0.1023    19.84
     5103271     0.4891    11.4352     0.0390     2.74
     5103277     0.3253    11.3989     0.0584     1.03
     5103295     0.1231     9.3262     0.0977   207.48
     5103296     0.1103     9.3383     0.1469    13.82
     5103298     0.1981    10.4459     0.0565    17.05
     5103300     0.3245    10.4364     0.0782    30.42
     5103301     0.2465    10.2576     0.1648    62.37
     5103307     0.3258    10.3491     0.0587     3.47
     5103315     0.1553     9.9362     0.1201    56.60
     5103318     0.1244     9.8166     0.0954     3.00
     5103320     0.3124    10.5436     0.0837    76.92
     5103323     0.3150    10.7123     0.1052    14.74
     5103330     0.1251    11.0573     0.0000     1.00
     5103335     0.1984    10.3932     0.0617    18.17
     5103337     0.0987     8.9718     0.1061   154.79
     5103338     0.3638    11.0609     0.0293     2.32
