,cataid,ra,dec,z1,template1,cc_sigma,z2,template2,cc_sigma.1,spec_id,t1_type,t2_type,spec_type
40,218757,140.7562,0.8481,0.2379,47,9.9,0.2497,44,9.1,G09_Y1_IN1_047,ELG,ELG,ELG+ELG
133,130523,177.7319,-2.1068,0.163,47,10.9,0.2494,44,9.6,G12_Y4_208_364,ELG,ELG,ELG+ELG
172,278240,215.8088,1.0788,0.2817,47,5.4,0.3932,44,7.9,G15_Y3_038_028,ELG,ELG,ELG+ELG
8,2248952,30.8281,-7.6358,0.2418,40,5.4,0.3284,45,5.2,G02_Y5_054_036,PG,ELG,PG+ELG
11,2005629,37.9288,-4.8868,0.1889,40,6.9,0.7163,45,5.9,G02_Y5_075_208,PG,ELG,PG+ELG
42,202448,129.6955,-0.3818,0.4178,40,9,0.7379,45,5,G09_Y2_003_174,PG,ELG,PG+ELG
47,422882,132.8106,2.8378,0.2121,40,7.8,0.3079,45,9.4,G09_Y2_022_313,PG,ELG,PG+ELG
66,3576902,129.9589,-1.6332,0.187,40,7.3,0.2678,45,9.7,G09_Y4_217_017,PG,ELG,PG+ELG
71,663372,140.4268,-1.092,0.2242,40,6.4,0.3305,45,6.6,G09_Y4_256_275,PG,ELG,PG+ELG
89,22559,178.0524,1.0525,0.1568,40,7.7,0.2834,45,8.8,G12_Y1_CX2_137,PG,ELG,PG+ELG
102,586392,184.6289,-0.1826,0.3071,40,6.5,0.4564,45,7.8,G12_Y1_HND1_036,PG,ELG,PG+ELG
146,238715,215.0608,1.6042,0.1898,40,11,0.2435,45,9.3,G15_Y1_CN1_326,PG,ELG,PG+ELG
151,239367,217.456,1.526,0.2841,40,10.2,0.3793,45,8.5,G15_Y1_EN1_278,PG,ELG,PG+ELG
185,77892,215.2081,0.1771,0.3159,40,9,0.6197,45,5.7,G15_Y4_229_205,PG,ELG,PG+ELG
196,5305885,347.4441,-31.0444,0.213,40,8,0.235,45,6.1,G23_Y4_020_131,PG,ELG,PG+ELG
197,5108875,340.21,-30.8253,0.217,40,8.5,0.287,45,9.6,G23_Y5_030_132,PG,ELG,PG+ELG
234,5133005,342.0545,-30.9158,0.2888,40,7.4,0.5565,45,5.9,G23_Y7_104_184,PG,ELG,PG+ELG
238,5327168,348.69,-31.531,0.1955,40,8.9,0.2438,45,7.7,G23_Y7_122_070,PG,ELG,PG+ELG
96,289278,181.643,1.7412,0.2939,42,10.9,0.701,45,5,G12_Y1_EX2_356,PG,ELG,PG+ELG
93,230803,181.0834,1.9395,0.1658,44,10.2,0.2425,45,9.2,G12_Y1_EX1_280,ELG,ELG,ELG+ELG
44,348065,140.0957,2.3343,0.0864,45,9.4,0.2813,45,9.9,G09_Y2_008_141,ELG,ELG,ELG+ELG
63,641911,140.0148,-1.2157,0.096,46,9.9,0.2202,45,9.1,G09_Y4_208_344,ELG,ELG,ELG+ELG
166,251526,219.0664,1.9784,0.0635,46,8.5,0.2833,45,7.5,G15_Y3_015_286,ELG,ELG,ELG+ELG
229,5250801,343.7937,-30.0197,0.3833,46,10.2,0.8038,45,6.1,G23_Y7_039_255,ELG,ELG,ELG+ELG
80,583813,176.8324,-0.1639,0.109,47,5.9,0.1374,45,7.3,G12_Y1_BD1_017,ELG,ELG,ELG+ELG
118,138368,181.9459,-1.8257,0.2744,47,6.3,0.3039,45,8.3,G12_Y2_012_022,ELG,ELG,ELG+ELG
141,53931,175.6952,-0.3144,0.1214,47,13.1,0.1472,45,12.2,G12_Y6_056_185,ELG,ELG,ELG+ELG
158,570323,223.2266,-0.5866,0.2803,47,5.5,0.3126,45,13.3,G15_Y1_IS2_030,ELG,ELG,ELG+ELG
216,5288388,346.8634,-34.7093,0.0364,47,10.8,0.2524,45,10.9,G23_Y7_015_086,ELG,ELG,ELG+ELG
24,323247,131.0233,1.6481,0.1638,40,10.6,0.2289,46,8.5,G09_Y1_BN2_295,PG,ELG,PG+ELG
32,209584,134.0298,0.1524,0.1582,40,7.9,0.167,46,12,G09_Y1_DS2_339,PG,ELG,PG+ELG
58,371208,130.5093,1.0207,0.0769,40,7.7,0.699,46,6,G09_Y3_015_191,PG,ELG,PG+ELG
78,573657,129.4136,-0.0104,0.2739,40,7.2,0.6572,46,6.8,G09_Y6_068_190,PG,ELG,PG+ELG
115,220854,183.5308,1.5531,0.2662,40,9.6,0.3275,46,9.2,G12_Y2_008_208,PG,ELG,PG+ELG
132,131725,182.3678,-2.2405,0.1791,40,8.2,0.6299,46,9.7,G12_Y4_206_372,PG,ELG,PG+ELG
150,15554,215.9748,0.6759,0.1421,40,7.7,0.2271,46,6.4,G15_Y1_DN1_123,PG,ELG,PG+ELG
152,320557,218.6342,1.7857,0.274,40,11.1,0.2789,46,7.2,G15_Y1_FN1_293,PG,ELG,PG+ELG
153,320384,218.1347,1.6892,0.1093,40,8.4,0.1923,46,7.8,G15_Y1_FN2_240,PG,ELG,PG+ELG
215,5205278,340.2153,-30.458,0.2185,40,10.2,0.2602,46,6.8,G23_Y7_011_003,PG,ELG,PG+ELG
231,5278488,345.708,-31.6132,0.1017,40,7.8,0.2789,46,7.4,G23_Y7_047_054,PG,ELG,PG+ELG
239,5265318,344.9055,-31.1903,0.1835,40,8.6,0.6495,46,6.5,G23_Y7_123_125,PG,ELG,PG+ELG
13,1779869,36.2946,-4.8425,0.3087,44,6.2,0.4596,46,5.8,G02_Y5_095_331,ELG,ELG,ELG+ELG
134,164995,179.4002,-2.8757,0.267,45,9.5,0.2701,46,8,G12_Y5_002_041,ELG,ELG,ELG+ELG
