,ra,dec,z1,z2,spec_type,cataid
265,175.88608,-0.43995,0.35100000000000003,0.8029999999999999,PG+PG,559147
266,182.74083000000002,-0.13542,0.345,0.331,PG+PG,585446
267,179.08296,-0.20490999999999998,0.107,0.645,PG+PG,746445
268,222.50238,0.81555,0.447,0.496,PG+PG,17244
269,222.23792000000003,2.3803400000000003,0.562,0.207,PG+PG,262987
270,219.30532999999997,1.4162299999999999,0.40299999999999997,0.15,PG+PG,298302
271,219.34801000000002,1.28769,0.33299999999999996,0.32899999999999996,PG+PG,298316
272,216.84646,1.8829099999999999,0.348,0.292,PG+PG,320078
273,214.88958,2.70961,0.39399999999999996,0.315,PG+PG,362394
274,217.28529,-0.9494,0.39399999999999996,0.494,PG+PG,544875
275,212.01942000000003,-0.07877999999999999,0.256,0.17800000000000002,PG+PG,592207
276,30.80412,-6.04563,0.424,0.622,PG+PG,1537351
277,30.69258,-4.1357099999999996,0.29100000000000004,0.413,PG+PG,1568229
278,349.60625,-33.45856,0.165,0.187,PG+PG,7019633
279,341.93799,-32.92324,0.672,0.47600000000000003,PG+PG,7032116
